sigle-atom,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData maximum CovalentRadius,MagpieData mode NdUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode GSmagmom,MagpieData mean SpaceGroupNumber,vpa,packing fraction,sine coulomb matrix eig 0,sine coulomb matrix eig 3,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 8,sine coulomb matrix eig 11,SOAP_40,magmom,theoretical
1.736,59,35,76.5,1204.3,1032.7,8,13,4,142,0,2,2,1,0,144.5,62.58246706,0.115805477,4856.210664,430.7611803,0,0,0,0,0,3.877,2
2.225,58,29,72.5,911.4,856.6,7,12.5,3.5,126,0,1,2.5,0.5,0,103,51.35488273,0.109150024,1440.178531,65.09392871,0,0,0,0,0,3.743,2
0.174,69,27,82.5,539.765,152.915,5,14.5,2.5,139,0,1,0.5,0.5,0,129,76.82960671,0.141872619,1671.075855,6737.406153,0,0,0,0,0,0.547,0
3.896,52,25,60.33333333,2287,1024,7,9.333333333,3.111111111,139,5,1,4.666666667,0.444444444,0.000310121,209.3333333,40.22358472,0.202408909,1233.763261,0,0,0,0,0,9.528122356,7.401,4
3.053,49,39,75,985.5733333,796.2844444,10,12.66666667,4.444444444,139,0,4,3.333333333,1.777777778,0,123,79.18306534,0.083652654,1036.49945,0,0,0,0,0,0,4.447,2
4.204,52,37,76.66666667,835.6666667,455.5555556,9,13,4,139,0,3,3,1.333333333,0,81.66666667,90.91078745,0.088861082,1113.068086,0,0,0,0,0,0.163494439,6.495,4
1.619,47,43,75.66666667,1398.44,901.04,11,12.33333333,4.888888889,164,0,5,3.666666667,2.222222222,0,177.6666667,141.8169849,0.084047599,3624.293404,6396.810215,6356.644888,0,0,0,0,2.785,2
2.736,46,50,79.33333333,985.5666667,798.2888889,12,13,5.333333333,153,0,6,3,2.666666667,0,119,89.10598046,0.1245486,915.2121729,0,0,0,0,0,0,5.3,3
1.067,44,52,78.66666667,967.2333333,773.8444444,13,12.66666667,5.777777778,175,0,7,3.333333333,3.111111111,0,107.3333333,98.00652843,0.131238236,3463.251019,0,0,0,0,0,0,2.107,1
2.819,58,36,85,570.7,598.65,8,15,3,126,0,2,1.5,0.75,0,96.5,78.19871592,0.073122573,1529.999538,439.6464384,422.7042661,409.8238048,0,0,0,7.348,3
0.641,45,50,82.5,825.85,840.075,13,13.75,4.875,175,0,7,2.75,2.625,0,96.5,83.27868804,0.104199558,14983.03961,2448.014586,2515.064708,2385.511059,0,0,0,1.259,1
1.87,47,49,83.75,977.6375,886.18125,12,14,4.5,164,0,6,2.5,2.25,0,105.25,102.0545772,0.11575221,3546.550312,6833.0386,6594.154502,6628.579234,0,0,0,3.689,2
2.033,54,41,84.75,1064.1,1197.45,10,14.5,3.75,151,0,4,2,1.5,0,96.5,72.68328646,0.101185138,16550.1383,2506.862997,2422.189529,2360.769655,0,0,0,4.273,2
2.466,51,45,84.75,1213.8875,1240.55625,11,14.25,4.125,162,0,5,2.25,1.875,0,105.25,102.7740263,0.108948042,16079.89833,6807.371603,6589.440168,6651.270007,0,0,0,4.848,3
3.027,49,45,76.66666667,802.1333333,918.5777778,11,13,4.666666667,139,0,5,3,2,0,101.6666667,44.55030578,0.124111451,1103.358386,433.7421783,66.71817067,0,0,0,0,5.81,3
1.599,61,35,81.33333333,723.2166667,669.8555556,7,14.33333333,2.888888889,139,0,1,1.666666667,0.444444444,0,100.3333333,45.72366507,0.165521973,7011.262183,1405.709234,66.84194103,0,0,0,0,3.275,2
1.693,45,49,83.75,657.95,729.525,13,14.5,3.75,175,0,7,2,1.5,0,100.375,75.7069468,0.084267807,14353.32958,414.3863167,409.2595202,424.0855933,0,0,0,1.898,2
0.677,65,28,83.66666667,447.31,525.08,6,15,2.666666667,145,0,0,1,0,0,85,118.2331365,0.051323689,5323.807485,88.34860066,85.83000035,0,0,0,0,1.974,1
3.93,49,41,72.42857143,1347.234286,713.7991837,10,11.71428571,4.897959184,139,0,4,3.714285714,1.959183673,0,185,77.42205761,0.148459505,1162.301827,6233.852188,6082.423333,6616.535935,0,0,0,10.015,4
3.283,49,39,80.7,650.253,447.4528,10,14.3,2.32,139,0,5,2.5,0.9,0,87.8,103.4660792,0.053457478,1739.494781,1022.859958,472.5581904,245.8582995,312.0365759,392.9228911,0,5.84,3
4.225,50,44,78.14285714,728.2571429,928.7102041,11,13.57142857,3.755102041,154,0,5,2.714285714,1.306122449,0,81.42857143,120.1582836,0.038130652,4054.523146,1244.98657,403.2241368,100.6872046,58.10354528,69.64789774,0,9.862,4
4.644,50,40,79.33333333,607.3844444,736.7792593,10,13.88888889,3.283950617,154,0,4,2.777777778,1.209876543,0,74.44444444,57.51374663,0.079569003,6791.424932,1163.061587,3850.215803,115.3529002,78.55602396,72.99107275,6.333728122,9.518,4
2.096,46,46,73.33333333,756.9688889,950.6874074,15,8.777777778,5.975308642,153,7,6,3.666666667,2.222222222,0,165.2222222,18.86334328,0.207098519,1073.470171,77.11288796,72.24752704,41.69863901,-1.130391812,0,0,4.447,2
0.508,44,38,59.2,1302.02,991.176,11,8.4,5.28,175,8,5,6,2.4,0,194,35.78502477,0.27439571,3837.990048,3422.312122,0,0,0,0,0,0.843,1
0.821,45,45,67.5,1614.33,891.67,12,10,6,175,0,6,5,3,0,173,79.69476537,0.169977108,15214.06364,6400.026715,0,0,0,0,0,1.616,1
0.692,62,34,79,1107.45,720.6,7,13.5,3.5,139,0,1,0.5,0.5,0,144.5,79.33225603,0.144884829,4699.763471,6706.522264,0,0,0,0,0,1.896,1
