,Formula,SGnumber,Magmom,Magnetic
340,V2H4O10Se2,2,2.000,True
341,Zr3B2F2O2,187,0.000,False
342,Zr3B2H2Se2,187,0.000,False
343,Y3C2H2O2,187,0.874,True
344,Ti4H2N3O2,164,0.000,False
345,Ti3C2,187,1.896,True
346,Y3N2,187,0.000,False
347,Y4C3F2,164,0.000,False
348,Mn4C3O2,164,10.307,True
349,Sc4N3O2,164,0.000,False
350,V4C3,164,0.000,False
351,Zr4N3,164,0.865,True
352,Al2Te2,164,0.000,False
353,Au2O2,10,0.000,False
354,Cs2Br2,129,0.000,False
355,In2I2,164,0.000,False
356,Fe2O2,10,5.585,True
357,Nb2O2,6,0.000,False
358,PbS,156,0.000,False
359,Pt2Se2,123,0.000,False
360,Zr2S2,164,0.000,False
361,Ti2Se2,164,0.000,False
362,PbO2,164,0.000,False
363,CdI2,164,0.000,False
364,BaI2,187,0.000,False
365,CrS2,115,1.999,True
366,FeBr2,187,4.000,True
367,Fe2S4,11,0.000,False
368,Pd2Se4,14,0.000,False
369,GeS2,164,0.000,False
370,HfO2,115,0.000,False
371,MnCl2,115,5.000,True
372,MoS2,115,0.000,False
373,Ca2N,164,0.000,False
374,NiTe2,187,0.000,False
375,Rh2Br4,12,1.996,True
376,Ru2Te4,11,0.000,False
377,VI2,164,3.000,True
378,ScS2,187,1.000,True
379,SnSe2,164,0.000,False
380,SrI2,187,0.000,False
381,TiO2,115,0.000,False
382,VSe2,164,0.624,True
383,WS2,187,0.000,False
384,YBr2,187,0.997,True
385,ZrTe2,115,0.000,False
386,RuH2O2,164,0.000,False
387,Hf2CF2,164,0.000,False
388,Nb2CO2,164,0.000,False
389,Ta2CSe2,164,0.000,False
390,Nb2NSe2,164,0.000,False
391,Bi2S2Te,164,0.000,False
392,CuSr2Br2O2,123,0.000,False
393,Sc2H2NO2,164,0.000,False
394,AlNi5Br2,123,1.093,True
395,GaNi5I2,123,0.000,False
396,Ag2ReI6,162,2.985,True
397,Al2Cl6,162,0.000,False
398,Ta2Se6,59,0.000,False
399,Zr2O6,59,0.000,False
400,HfZr3Te8,25,0.000,False
401,Cr3WTe8,25,0.000,False
402,Al2Cl2S2,59,0.000,False
403,BiTiAs,156,0.000,False
404,AsClS,156,0.000,False
405,BiISe,156,0.000,False
406,Ni2Br2S2,59,0.000,False
407,Sc2Br2S2,59,0.000,False
408,Ti2Br2Se2,59,0.000,False
409,Cr2Cl2O2,59,6.000,True
410,In2Cl2S2,59,0.000,False
411,Ru2Cl2S2,59,0.000,False
412,ClSbTe,156,0.000,False
413,Co2Li2Sb2,129,0.920,True
414,Hf2I2S2,59,0.000,False
415,Ni2I2O2,59,1.880,True
416,ISSb,156,0.000,False
417,Sc2I2Se2,59,0.000,False
418,MoOSe,156,0.000,False
419,NbSeTe,156,0.430,True
420,WSeTe,156,0.000,False
421,Au2Cl2Te4,4,0.000,False
422,Cu2I2Te4,17,0.000,False
423,Ti2P2Te6,162,2.053,True
424,Cr2Mo2Te8,25,0.000,False
425,Ti2Zr2Te8,25,0.000,False
426,HfNiCl6,149,2.000,True
427,Ag2F4,14,1.687,True
428,Au2Br2,67,0.000,False
429,Cr3Te4,164,9.922,True
430,Ir5Te10,5,0.000,False
431,Pb4O4,29,0.000,False
432,Hf2I2N2,164,0.000,False
433,Ag2Br2,164,0.000,False
434,CrGa2Se4,164,3.752,True
435,FeGa2S4,164,0.000,False
436,Ir2Nb2Te8,11,0.000,False
437,Mn2P2Se6,162,9.752,True
438,Nb3Br7S,156,0.000,False
439,Nb4Si2Te8,55,0.000,False
440,Ni4Ta2Te4,51,0.000,False
441,Pd2I4O12,14,0.000,False
442,Re2ZnO8,147,0.000,False
443,Y2Cl2O2,164,0.000,False
444,AgGaP2Se6,149,0.000,False
445,Bi2Cd2Cl2O4,11,0.000,False
446,Cr2Cu2P4S12,4,6.000,True
447,Zn2H8N4Te2,4,0.000,False
