ACSF_1,ACSF_2,ACSF_3,ACSF_4,ACSF_5,ACSF_6,ACSF_7,ACSF_8,ACSF_9,ACSF_10,ACSF_11,ACSF_12,ACSF_13,ACSF_14,ACSF_15,ACSF_16,ACSF_17,ACSF_18,ACSF_19,ACSF_20
3.801,0.269,1.523,1.341,0.723,0.001,0.071,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.175,0.692,4.344,3.69,0.69,0.0,0.031,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.496,0.385,2.731,2.778,0.746,0.003,0.116,0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.34,0.342,2.61,2.731,0.69,0.0,0.031,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.638,0.0,0.008,0.187,3.976,0.078,1.358,3.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.314,0.116,0.726,0.616,0.711,0.001,0.053,0.49,1.014,0.0,0.001,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.684,0.129,1.171,1.438,0.691,0.0,0.032,0.392,1.619,0.048,0.75,1.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.891,0.24,0.872,0.429,1.497,0.006,0.246,1.329,1.414,0.053,0.541,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,0.0,0.016,0.383,0.663,0.0,0.015,0.273,4.967,0.255,2.942,4.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.423,0.002,0.107,0.981,5.104,0.498,3.874,4.074,0.736,0.002,0.094,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.911,0.085,1.413,3.198,0.619,0.0,0.004,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.623,1.37,3.622,1.297,0.752,0.004,0.133,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.143,0.125,1.467,2.576,0.627,0.0,0.005,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.237,0.0,0.0,0.0,1.16,0.0,0.003,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.013,0.273,0.789,1.353,0.081,0.64,0.693,1.442,0.002,0.133,1.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.103,0.0,0.0,0.0,5.763,0.349,2.63,2.797,1.157,0.0,0.012,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.163,0.758,1.893,1.411,0.947,0.005,0.154,0.708,0.448,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.428,0.002,0.114,1.008,4.451,0.338,2.601,2.831,0.739,0.002,0.099,0.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11,0.0,0.001,0.073,4.495,0.098,1.301,2.399,1.454,0.0,0.007,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.777,0.0,0.0,0.001,3.26,0.003,0.175,1.736,1.681,0.124,1.153,1.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.154,1.209,2.733,1.363,1.566,0.143,0.809,0.984,1.459,0.005,0.186,1.145,0.416,0.0,0.0,0.001,0.0,0.0,0.0,0.0
5.553,0.58,2.022,2.378,8.614,1.974,3.215,3.13,1.426,0.001,0.05,0.479,2.209,0.012,0.357,1.469,1.529,0.298,0.903,0.526
1.689,0.139,1.205,1.417,0.575,0.0,0.001,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.259,0.181,0.884,1.28,1.894,0.016,0.313,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.0,0.005,0.156,1.721,0.218,1.42,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.362,0.057,0.557,0.753,0.533,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.898,0.289,0.895,0.374,1.544,0.085,0.682,1.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.383,0.017,0.32,0.866,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.191,0.326,2.134,1.996,0.722,0.001,0.068,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.678,0.0,0.023,0.334,3.054,0.155,1.604,2.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.878,0.369,1.681,1.37,0.638,0.0,0.008,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.434,1.429,2.686,0.976,0.735,0.002,0.091,0.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.482,1.215,2.82,1.458,0.817,0.031,0.424,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.063,0.172,1.674,2.237,0.673,0.0,0.02,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.118,0.227,1.869,2.144,0.696,0.0,0.036,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761,0.005,0.158,0.713,3.45,0.461,2.895,2.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.805,0.294,1.573,1.383,0.613,0.0,0.004,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.677,0.0,0.022,0.328,3.274,0.127,1.721,3.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
