ID,Formula,order,d,TM-atom,CO-atom,Spin-Magmom,TM-IonicRadius,CO-IonicRadius,Sum-IonicRadius,TM-CovalentRadius,CO-CovalentRadius,Sum-CovalentRadius,TM-DipolePolarization,CO-DipolePolarization,Sum-DipolePolarization,TM-Electronegativity,CO-Electronegativity,Sum-Electronegativity,TM-Formationheat,CO-Formationheat,Sum-Formationheat,TM-vdwRadius,CO-vdwRadius,Sum-vdwRadius
1117,V3H2N2O2,0,3,V,H,3.872983346,79,-38,41,134,32,166,87,4.50711,91.50711,1.63,2.2,3.83,515.5,217.998,733.498,207,110,317
1124,Zr3N2,0,2,Zr,C,2.828427125,59,-8,51,154,75,229,112,11.3,123.3,1.33,2.55,3.88,610,716.87,1326.87,223,170,393
1143,Rh2Cl2,0,8,Rh,P,3.872983346,66.5,44,110.5,125,111,236,66,25,91,2.28,2.19,4.47,556,316.5,872.5,210,180,390
1146,Cr2F2,1,5,Cr,O,6.92820323,73,135,208,122,63,185,83,5.3,88.3,1.66,3.44,5.1,397.48,249.229,646.709,206,152,358
1155,Hf2Te2,1,2,Hf,Te,2.828427125,58,221,279,152,136,288,103,38,141,1.3,2.1,3.4,618.4,196.6,815,223,206,429
1157,Pd2I2,0,10,Pd,C,0,59,-8,51,120,75,195,26.14,11.3,37.44,2.2,2.55,4.75,376.6,716.87,1093.47,210,170,380
1165,Ni2Te2,1,8,Ni,Te,2.828427125,55,221,276,110,136,246,49,38,87,1.91,2.1,4.01,430.1,196.6,626.7,197,206,403
1193,CoF2,0,7,Co,F,3.872983346,58,128.5,186.5,111,64,175,55,3.74,58.74,1.88,3.98,5.86,426.7,79.335,506.035,200,147,347
1195,CrCl2,0,5,Cr,C,6.92820323,73,-8,65,122,75,197,83,11.3,94.3,1.66,2.55,4.21,397.48,716.87,1114.35,206,170,376
1212,MnF2,0,5,Mn,F,5.916079783,66,128.5,194.5,119,64,183,68,3.74,71.74,1.55,3.98,5.53,283.3,79.335,362.635,205,147,352
1213,MnSe2,1,5,Mn,Se,5.916079783,66,198,264,119,116,235,68,28.9,96.9,1.55,2.55,4.1,283.3,227.2,510.5,205,190,395
1222,OsO2,0,6,Os,P,4.898979486,63,44,107,129,111,240,57,25,82,2.2,2.19,4.39,787,316.5,1103.5,216,180,396
1249,V2Te4,0,3,V,Si,3.872983346,79,26,105,134,116,250,87,37.3,124.3,1.63,1.9,3.53,515.5,450,965.5,207,210,417
1258,Mn2CF2,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
1279,Hf2Br6,1,2,Hf,Br,2.828427125,58,196,254,152,114,266,103,21,124,1.3,2.96,4.26,618.4,111.85,730.25,223,185,408
1283,Os2Br6,0,6,Os,C,4.898979486,63,-8,55,129,75,204,57,11.3,68.3,2.2,2.55,4.75,787,716.87,1503.87,216,170,386
1284,Pd2Br6,1,10,Pd,Br,0,59,196,255,120,114,234,26.14,21,47.14,2.2,2.96,5.16,376.6,111.85,488.45,210,185,395
1285,Re2Cl6,1,5,Re,Cl,5.916079783,63,181,244,131,99,230,62,14.6,76.6,1.9,3.16,5.06,774,121.302,895.302,216,175,391
1286,Ru2Cl6,0,7,Ru,P,4.898979486,68,44,112,125,111,236,72,25,97,2.2,2.19,4.39,650.6,316.5,967.1,213,180,393
1289,V2Br6,1,3,V,Br,3.872983346,79,196,275,134,114,248,87,21,108,1.63,2.96,4.59,515.5,111.85,627.35,207,185,392
1304,VBrCl,0,3,V,Ge,3.872983346,79,73,152,134,121,255,87,40,127,1.63,2.01,3.64,515.5,372,887.5,207,211,418
1313,Ti4Br4Se4,1,2,Ti,Se,2.828427125,86,198,284,136,116,252,100,28.9,128.9,1.54,2.55,4.09,473,227.2,700.2,211,190,401
1314,Cr2Cl2S2,1,5,Cr,S,6.92820323,73,184,257,122,103,225,83,19.4,102.4,1.66,2.58,4.24,397.48,277.17,674.65,206,180,386
1326,Hf4I4S4,1,2,Hf,S,2.828427125,58,184,242,152,103,255,103,19.4,122.4,1.3,2.58,3.88,618.4,277.17,895.57,223,180,403
1346,CoHfBr6,1,7,Co,Br,3.872983346,58,196,254,111,114,225,55,21,76,1.88,2.96,4.84,426.7,111.85,538.55,200,185,385
1347,HfNiI6,0,8,Ni,Hf,2.828427125,55,58,113,110,152,262,49,103,152,1.91,1.3,3.21,430.1,618.4,1048.5,197,223,420
1351,K2C4,0,0,K,C,1.732050808,137,-8,129,196,75,271,289.7,11.3,301,0.82,2.55,3.37,89,716.87,805.87,275,170,445
1359,CrHO2,1,5,Cr,O,6.92820323,73,135,208,122,63,185,83,5.3,88.3,1.66,3.44,5.1,397.48,249.229,646.709,206,152,358
1361,Ga2Mn2S5,0,5,Mn,Ga,5.916079783,66,47,113,119,124,243,68,50,118,1.55,1.81,3.36,283.3,271.96,555.26,205,187,392
1364,MnF12Sb2,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
1367,NiRe2O8,1,8,Ni,Se,2.828427125,55,198,253,110,116,226,49,28.9,77.9,1.91,2.55,4.46,430.1,227.2,657.3,197,190,387
1371,V2Cl2O2,1,3,V,O,3.872983346,79,135,214,134,63,197,87,5.3,92.3,1.63,3.44,5.07,515.5,249.229,764.729,207,152,359
1376,Fe2Sr4Br2O6,0,6,Fe,Sr,4.898979486,63,118,181,116,185,301,62,197.2,259.2,1.83,0.95,2.78,415.5,164,579.5,204,249,453
1378,Mn2Br2S4Sb2,0,5,Mn,Sb,5.916079783,66,76,142,119,140,259,68,43,111,1.55,2.05,3.6,283.3,264.4,547.7,205,206,411
1405,Mn2Br2,1,5,Mn,Br,5.916079783,66,196,262,119,114,233,68,21,89,1.55,2.96,4.51,283.3,111.85,395.15,205,185,390
1411,Ni2Cl2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
1420,Fe2S2,1,6,Fe,S,4.898979486,63,184,247,116,103,219,62,19.4,81.4,1.83,2.58,4.41,415.5,277.17,692.67,204,180,384
1427,Sr2I2,1,0,Sr,I,0,118,220,338,185,133,318,197.2,32.9,230.1,0.95,2.66,3.61,164,106.757,270.757,249,198,447
1433,Ni2O2,1,8,Ni,Se,2.828427125,55,198,253,110,116,226,49,28.9,77.9,1.91,2.55,4.46,430.1,227.2,657.3,197,190,387
1450,Ti2Te2,0,2,Ti,Si,2.828427125,86,26,112,136,116,252,100,37.3,137.3,1.54,1.9,3.44,473,450,923,211,210,421
1464,CrCl2,0,5,Cr,P,6.92820323,73,44,117,122,111,233,83,25,108,1.66,2.19,3.85,397.48,316.5,713.98,206,180,386
1468,Br2Fe,0,6,Fe,Ge,4.898979486,63,73,136,116,121,237,62,40,102,1.83,2.01,3.84,415.5,372,787.5,204,211,415
1469,FeS2,1,6,Fe,S,4.898979486,63,184,247,116,103,219,62,19.4,81.4,1.83,2.58,4.41,415.5,277.17,692.67,204,180,384
1478,IrF2,0,7,Ir,P,3.872983346,68,44,112,122,111,233,54,25,79,2.2,2.19,4.39,669,316.5,985.5,213,180,393
1481,MnH2,1,5,Mn,Se,5.916079783,66,198,264,119,116,235,68,28.9,96.9,1.55,2.55,4.1,283.3,227.2,510.5,205,190,395
1482,MnTe2,1,5,Mn,Te,5.916079783,66,221,287,119,136,255,68,38,106,1.55,2.1,3.65,283.3,196.6,479.9,205,206,411
1494,PdCl2,1,10,Pd,Cl,0,59,181,240,120,99,219,26.14,14.6,40.74,2.2,3.16,5.36,376.6,121.302,497.902,210,175,385
1498,ReCl2,0,5,Re,P,5.916079783,63,44,107,131,111,242,62,25,87,1.9,2.19,4.09,774,316.5,1090.5,216,180,396
1500,RhBr2,1,8,Rh,Br,3.872983346,66.5,196,262.5,125,114,239,66,21,87,2.28,2.96,5.24,556,111.85,667.85,210,185,395
1513,TiCl2,0,2,Ti,Si,2.828427125,86,26,112,136,116,252,100,37.3,137.3,1.54,1.9,3.44,473,450,923,211,210,421
1517,V2O4,0,3,V,C,3.872983346,79,-8,71,134,75,209,87,11.3,98.3,1.63,2.55,4.18,515.5,716.87,1232.37,207,170,377
1543,Cu2ReBr6,0,10,Cr,Re,6.92820323,73,63,136,122,131,253,83,62,145,1.66,1.9,3.56,397.48,774,1171.48,206,216,422
1547,Fe2Br6,1,6,Fe,Br,4.898979486,63,196,259,116,114,230,62,21,83,1.83,2.96,4.79,415.5,111.85,527.35,204,185,389
1548,Hf2Cl6,1,2,Hf,Hf,2.828427125,58,58,116,152,152,304,103,103,206,1.3,1.3,2.6,618.4,618.4,1236.8,223,223,446
1550,Mo2I6,1,5,Mo,I,6.92820323,69,220,289,138,133,271,87,32.9,119.9,2.16,2.66,4.82,658.98,106.757,765.737,217,198,415
1552,Os2Cl6,1,6,Os,Cl,4.898979486,63,181,244,129,99,228,57,14.6,71.6,2.2,3.16,5.36,787,121.302,908.302,216,175,391
1553,Pd2Cl6,1,10,Pd,Pd,0,59,59,118,120,120,240,26.14,26.14,52.28,2.2,2.2,4.4,376.6,376.6,753.2,210,210,420
1554,Re2Cl6,1,5,Re,Cl,5.916079783,63,181,244,131,99,230,62,14.6,76.6,1.9,3.16,5.06,774,121.302,895.302,216,175,391
1557,Ti2Br6,1,2,Ti,Br,2.828427125,86,196,282,136,114,250,100,21,121,1.54,2.96,4.5,473,111.85,584.85,211,185,396
1558,V2Br6,1,3,V,Br,3.872983346,79,196,275,134,114,248,87,21,108,1.63,2.96,4.59,515.5,111.85,627.35,207,185,392
1574,Cu2Br2S2,1,10,Cu,Cu,1.732050808,46,46,92,112,112,224,46.5,46.5,93,1.9,1.9,3.8,337.4,337.4,674.8,196,196,392
1579,Os2Br2O2,0,6,Os,C,4.898979486,63,-8,55,129,75,204,57,11.3,68.3,2.2,2.55,4.75,787,716.87,1503.87,216,170,386
1582,V2Br2Se2,1,3,V,Br,3.872983346,79,196,275,134,114,248,87,21,108,1.63,2.96,4.59,515.5,111.85,627.35,207,185,392
1583,Cr2Cl2Se2,1,5,Cr,Cl,6.92820323,73,181,254,122,99,221,83,14.6,97.6,1.66,3.16,4.82,397.48,121.302,518.782,206,175,381
1588,Ni2Cl2O2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
1592,Co2Na2Sb2,0,7,Co,Sb,3.872983346,58,76,134,111,140,251,55,43,98,1.88,2.05,3.93,426.7,264.4,691.1,200,206,406
1615,CoHfF6,0,7,Co,F,3.872983346,58,128.5,186.5,111,64,175,55,3.74,58.74,1.88,3.98,5.86,426.7,79.335,506.035,200,147,347
1616,MnZrBr6,0,5,Mn,Zr,5.916079783,66,59,125,119,154,273,68,112,180,1.55,1.33,2.88,283.3,610,893.3,205,223,428
1628,Cr2Cu2O8,0,10,Cr,Cu,6.92820323,73,46,119,122,112,234,83,46.5,129.5,1.66,1.9,3.56,397.48,337.4,734.88,206,196,402
1630,Ga2NiS4,1,8,Ni,S,2.828427125,55,184,239,110,103,213,49,19.4,68.4,1.91,2.58,4.49,430.1,277.17,707.27,197,180,377
1634,MnRe2O8,0,5,Mn,Re,5.916079783,66,63,129,119,131,250,68,62,130,1.55,1.9,3.45,283.3,774,1057.3,205,216,421
1637,Ni2As2O7,0,8,Ni,As,2.828427125,55,58,113,110,121,231,49,30,79,1.91,2.18,4.09,430.1,302.5,732.6,197,185,382
1645,Bi2Fe2Br2S4,0,6,Fe,Bi,4.898979486,63,96,159,116,151,267,62,48,110,1.83,1.9,3.73,415.5,209.6,625.1,204,207,411
1646,Fe2W2Cl2O8,1,6,Fe,Cl,4.898979486,63,181,244,116,99,215,62,14.6,76.6,1.83,3.16,4.99,415.5,121.302,536.802,204,175,379
